full_id,osm_id,osm_type,crossing,highway,supervised,amenity,name,descriptio,wikidata,religion,addr_city,addr_postc,addr_stree,name_af,addr_house,access,barrier,school,wikipedia,alt_name,bicycle,foot,motorcar,motorcycle,addr_hou_1,operator,entrance,email,opening_ho,phone,website,name_en,grades,traffic_ca,crossing_r,addr_subur,isced,motor_vehi,operator_t,x,y
n289674067,"289674067",node,,,,school,Hoërskool Birchleigh,,Q97333916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.235,-26.056
n289888823,"289888823",node,,,,school,Norkem Park High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.226,-26.049
n306956820,"306956820",node,,,,school,Montic Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.212,-26.422
n306959668,"306959668",node,,,,school,Ithuba Skills College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.211,-26.423
n294746879,"294746879",node,,,,school,Parktown Girls High,,Q97331197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.022,-26.156
n296498884,"296498884",node,,,,school,Jona Convent,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.204,-25.728
n242936984,"242936984",node,,,,school,Piet Van Veerun Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.992,-26.191
n243031082,"243031082",node,,,,school,Binham College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.067,-26.130
n113395157,"113395157",node,traffic_signals,traffic_signals,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.061,-26.132
n252954774,"252954774",node,,,,school,Greenside Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.013,-26.153
n253041220,"253041220",node,,,,school,Emmarentia Primary School,,Q97331030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.011,-26.164
n243829557,"243829557",node,,,,school,Klein Pikkewyn,Creche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.891,-26.119
n247761218,"247761218",node,,,,school,Vorentoe High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.993,-26.187
n343491676,"343491676",node,,,,school,Laerskool Kruinsig,,Q97334054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.245,-26.071
n326931552,"326931552",node,,,,school,Fidelitas High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.953,-26.245
n343491193,"343491193",node,,,,school,Saint Matthews,,Q97334278,,Kempton Park,"1619",Sim Road,,,,,,,,,,,,,,,,,,,,,,,,,,,28.254,-26.088
n368236447,"368236447",node,,,,school,Muslim School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.099,-26.040
n369598022,"369598022",node,,,,school,Maria Montessori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.967,-25.979
n368233037,"368233037",node,,,,school,Kyalami Preparatory,,Q97331869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.082,-25.999
n319268026,"319268026",node,,,,school,American Intl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.036,-25.948
n319268033,"319268033",node,,,,school,Riversands Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.021,-25.951
n312330786,"312330786",node,,,,school,Madibatlou,,Q97334298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.253,-25.935
n312348522,"312348522",node,,,,school,Olifantsfontein Primary,,Q97332196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.228,-25.954
n321837023,"321837023",node,,,,school,Boschkop Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.499,-25.857
n325243847,"325243847",node,,,,school,Laerskool Kameeldrift,,Q97332896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.007,-25.712
n319438299,"319438299",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.954,-26.238
n320678522,"320678522",node,,,,bench,Place Of Quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.233,-25.888
n458411180,"458411180",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.085,-26.077
n460246375,"460246375",node,,,,school,Houghton Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.066,-26.168
n419830360,"419830360",node,,,,school,Lesedi Secondary,,Q97332600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.446,-25.771
n420887839,"420887839",node,,,,school,Kwena-Molapo Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.930,-25.966
n479750640,"479750640",node,,,,school,St. Dunstans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.322,-26.147
n479751134,"479751134",node,,,,school,Brandwag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.317,-26.174
n468284433,"468284433",node,,,,school,Tshwane Muslim School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.096,-25.796
n479750621,"479750621",node,,,,school,Rynfield Laerskool,,Q97334563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.324,-26.149
n370175684,"370175684",node,,,,school,Hoërskool Bekker,,Q97333501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.556,-25.948
n370175709,"370175709",node,,,,school,Bekker Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.552,-25.948
n370175564,"370175564",node,,,,school,Laerskool Hekpoort,,Q97333553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.600,-25.897
n370175674,"370175674",node,,,,school,Doornbosch Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.592,-25.940
n408994457,"408994457",node,,,,school,Laerskool Uniefees,,Q97333119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.249,-25.551
n408994458,"408994458",node,,,,school,Tomarie Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.230,-25.528
n386173074,"386173074",node,,,,school,La Montagne Primary,,Q97332595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.324,-25.745
n393749415,"393749415",node,,,,school,Laerskool Fleur,,Q97332190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.210,-25.821
n600823210,"600823210",node,,,,school,Monument Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.231,-25.800
n600829438,"600829438",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.147,-25.842
n568335394,"568335394",node,,,,school,Strubenvale Primary School,,Q97335572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.471,-26.256
n568378180,"568378180",node,,,,school,Johan Jurgens High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.445,-26.253
n654106699,"654106699",node,,,,school,Christ Church Preparatory School & College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.114,-25.971
n656847952,"656847952",node,,,,school,Buccleuch Primary,,Q97331664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.101,-26.054
n600831545,"600831545",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.141,-25.855
n652645304,"652645304",node,,,,school,CVO Moot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.252,-25.710
n496185088,"496185088",node,,,,school,Malvern High School,,Q97331080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.094,-26.201
n496187055,"496187055",node,,,,school,Leicester Road Primary School,,Q97331077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.109,-26.195
n479759289,"479759289",node,,,,school,Arbor Pre-Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.304,-26.152
n479761181,"479761181",node,,,,school,Willowmoore High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.318,-26.200
n531596824,"531596824",node,,,,school,Petra Pre School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.138,-26.136
n564902986,"564902986",node,,,,school,East Rand Christian Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.201,-26.180
n496187371,"496187371",node,,,,school,Kensington Ridge Primary School,,Q97331065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.115,-26.195
n496219203,"496219203",node,,,,school,Jeppe Girls High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.092,-26.198
n7561711218,"7561711218",node,,,,school,St Stithians College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.008,-26.084
n7572080087,"7572080087",node,,,,school,Forest Hill High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.043,-26.251
n7548827848,"7548827848",node,,,,school,Ahmed Timol Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.756,-26.167
n7561711217,"7561711217",node,,,,school,Ferndale Highschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.004,-26.082
n7572080187,"7572080187",node,,,,school,Curro Academy,,,,,,Sage Wood Street,,,,,,,,,,,,,,,,,087 0877569,http://info.proteaglen@curro.co.za,Curro Academy Protea Glen,,,,,,,,27.815,-26.269
n7572088085,"7572088085",node,,,,school,SPARK Independent & Private School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.811,-26.272
n7572080091,"7572080091",node,,,,school,Reboni Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.817,-26.256
n7572080093,"7572080093",node,,,,school,Margaret Gwele Primary School,,Q97333758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.871,-26.226
n7026407683,"7026407683",node,,,,school,EKUKHANYISELWENI CHRISTIAN SCHOOL,,Q97336654,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3,,,28.190,-26.026
n7124397990,"7124397990",node,,,,school,Highlands North Boys' High School,,Q97331044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.082,-26.147
n6786286083,"6786286083",node,,,,school,Pure Hope Primary,,,christian,Pretoria,,De Villebois Mareuil Drive,,"1353",,,,,,,,,,,,,suzanne@moreleta.co.za,,"+27129978083",,,,,,,,,,28.305,-25.828
n7023791253,"7023791253",node,,,,school,RENLYN'S MODERN MONTESORRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,28.127,-26.089
n7395128688,"7395128688",node,,,,,,,,,,,,,,private,gate,,,,,,no,,,,,,,,,,,,,,,yes,,28.082,-26.203
n7521711770,"7521711770",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.867,-26.202
n7156512380,"7156512380",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.833,-26.062
n8001290250,"8001290250",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.882,-26.211
n8001398428,"8001398428",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.867,-26.215
n8003301389,"8003301389",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.862,-26.216
n8001398429,"8001398429",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.866,-26.214
n8001398430,"8001398430",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.867,-26.215
n7575429889,"7575429889",node,,,,school,Protea Glen High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.800,-26.281
n7578651481,"7578651481",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.912,-26.228
n7575429787,"7575429787",node,,,,school,Lakeview Primary School,,Q97330885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.886,-26.264
n7575429790,"7575429790",node,,,,school,Maryvale Pre-Primary and Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.086,-26.152
n7792068660,"7792068660",node,,,,school,Charter House Prepratory School,,,,Roodepoort,,Erasmus Road,,"10",,,,,,,,,,,,,,,,https://www.charterhouse.co.za/,,0-6,,,,,,,27.918,-26.112
n7796230352,"7796230352",node,,,,school,Hekpoort Primary Farm School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.154,-26.456
n7579931185,"7579931185",node,,,,school,Mncube Secondary School,,Q97331371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.881,-26.228
n7781200996,"7781200996",node,,,,school,Sharicrest Primary School,,,,Lenasia,"1820",Volta Street,,,,,,,,,,,,,Government,,,,,,,1-7,,,,,,public,27.862,-26.343
n8117852624,"8117852624",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.159,-26.363
n8044463721,"8044463721",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.156,-26.152
n8018448287,"8018448287",node,,,,school,Lethabong Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.106,-25.506
n8038045885,"8038045885",node,,,,school,Pelotona Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.042,-25.516
n8044463694,"8044463694",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.157,-26.151
n8044463695,"8044463695",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.156,-26.151
n8039118886,"8039118886",node,,,,school,Marist Brothers School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.049,-26.121
n8044463693,"8044463693",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.157,-26.151
n5770543987,"5770543987",node,,,,school,SPARK Centurion Primary School,,,,Centurion,"0157",Witpenssekelstert Street,,,,,,,,,,,,,SPARK Schools,,centurion@sparkschools.co.za,,+27 10 590 6305,https://www.sparkschools.co.za,,,,,,,,,28.134,-25.861
n5821105115,"5821105115",node,uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.894,-26.149
n5488206980,"5488206980",node,,,,school,Laerskool Die Arend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.357,-26.245
n5657134322,"5657134322",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.149,-26.155
n5859976785,"5859976785",node,,,,school,Blue Sea Day Care,,,,,"2090",9th Road,,"99",,,,,,,,,,,Véronique Mbiatchou,,mpodo1995@gmail.com,Mo-Fr 06:00-17:00,+27 710519255,,,,,,,,,,28.095,-26.119
n5861328389,"5861328389",node,,,,,,,,,,,,,,private,gate,,,,,,,,,,,,,,,,,,,,,,,28.201,-26.100
n5838794030,"5838794030",node,,,,school,Willie's Driving School,,,,,,Makhobela Street,,,,,,,,,,,,,,,,,,,,,,,,,,,27.875,-26.232
n5182415131,"5182415131",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,27.833,-26.064
n5330911521,"5330911521",node,,,,school,Rhulani Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.109,-25.516
n5159149621,"5159149621",node,,,,school,Casa do Sol School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.994,-26.125
n5180332021,"5180332021",node,,,,school,The Animation School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.035,-26.148
n5488206975,"5488206975",node,,,,school,Hoerskool Stoffberg,,Q97334544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.357,-26.246
n5409582460,"5409582460",node,,,,school,Rand Park High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.958,-26.094
n5432163720,"5432163720",node,,,,school,Park Primary,,Q97329839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.833,-26.318
n6025596526,"6025596526",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.473,-26.129
n6027716799,"6027716799",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.352,-26.137
n5970436664,"5970436664",node,,,,school,Laerskool,,,,,,Allen Road,,,,,,,,,,,,,,,,,,,,,,,,,,,28.447,-26.281
n5973309090,"5973309090",node,,,,school,tulip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.858,-26.116
n6039708257,"6039708257",node,,,,school,Kyalami Kids Pre-School,,,,,,Anton Hartman Street,,,,,,,,,,,,,,,,,,,,,,,,,,,28.094,-26.001
n6043250613,"6043250613",node,,,,school,Mati-To-Tenga Combined School,,,,,,Khakhu Street,,,,,,,,,,,,,,,,,,,,,,,,,,,28.410,-26.150
n6032967791,"6032967791",node,uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.763,-26.092
n6032967792,"6032967792",node,uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.763,-26.091
n5888239784,"5888239784",node,,,,school,Vector College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.042,-26.200
n5897794598,"5897794598",node,,,,school,Bedfordview High School,,Q97331938,,,,Healey Road,,,,,,,,,,,,,,,,,,,,,,,,,,,28.128,-26.196
n5862355985,"5862355985",node,,,,school,Duzek Christian School,,,,,,Claim Street,,,,,,,,,,,,,,,,,,,,,,,,,,,28.049,-26.189
n5862418786,"5862418786",node,,,,school,South African Theological Seminary,,,,,"2191",Grosvenor Road,,"37",,,,,,,,,,,NGO,,info@sats.edu.za,Mo-Fr 09:00-18:00,+27 112344440,https://www.sats.edu.za/,,,,,,,,,28.021,-26.060
n5911445922,"5911445922",node,,,,school,Speelkas Kleuterskool,,,,Highveld Park X12,,Charles De Gaulle Crescent,,"17",,,,,,,,,,,,,,,,,,,,,,,,,28.199,-25.878
n5921658250,"5921658250",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.010,-26.470
n5902188358,"5902188358",node,uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zebra,,,,,28.103,-26.190
n5902188359,"5902188359",node,uncontrolled,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zebra,,,,,28.104,-26.189
n6271251926,"6271251926",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.904,-26.222
n6271251927,"6271251927",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.905,-26.222
n6251196221,"6251196221",node,,,,,,,,,,,,,,yes,gate,,,,,,,,,,,,,,,,,,,,,,,28.020,-26.180
n6253977136,"6253977136",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.332,-26.552
n6271252306,"6271252306",node,,,,school,Emadwaleni Secondary School,,Q97331268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.917,-26.228
n6271252313,"6271252313",node,,,,school,Realogile High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.101,-26.105
n6271251930,"6271251930",node,,,,school,Belle Higher Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.908,-26.235
n6271251946,"6271251946",node,,,,school,Menzi Primary School,,Q97335853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.396,-26.327
n6046754453,"6046754453",node,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,28.414,-26.143
n6047054378,"6047054378",node,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,28.429,-26.137
n6229596514,"6229596514",node,,,,school,Abbots College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.178,-25.877
n6251196207,"6251196207",node,,,,,,,,,,,,,,yes,gate,,,,,,,,,,,,,,,,,,,,,,,28.020,-26.181
n6401736888,"6401736888",node,,,,school,Kingdom Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.174,-26.232
n6401742385,"6401742385",node,,,,school,Task Accademy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.014,-26.200
n6360400531,"6360400531",node,,,,school,Sunnyside Primary School,,,,Pretoria,"0002",,,,,,,,,,,,,,,,,,,,,,,,Sunnyside,,,,28.205,-25.757
n6377515986,"6377515986",node,,,,school,Shomang Primary School,,Q97331408,,,,,,,,,,,,,,,,,,,,,,,Nkanyezi Stimulation Centre,,,,,,,,27.918,-26.230
n6657279588,"6657279588",node,,,,school,Kameeldrift-West Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.006,-25.712
n6786286082,"6786286082",node,,,,school,Moreleta Duifies Creche Cum Kleuterskool,,,christian,,,De Villabois,,"1353",,,,,,,,,,,,,duifies@moreleta.co.za,,"+27129978070",,,,,,,,,,28.305,-25.830
n6406302461,"6406302461",node,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,28.170,-25.668
n6570261798,"6570261798",node,,,,school,Spark School Cresta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.977,-26.106
n6271254694,"6271254694",node,,,,school,Bona Comprehensive High School,,Q97331252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.917,-26.247
n6271254695,"6271254695",node,,,,school,St. John Berchman's Primary School,,Q97331412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.928,-26.246
n6271252317,"6271252317",node,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.907,-26.232
