@id,amenity,name,website,wikidata,wikipedia,addr_city,addr_stree,addr_house,addr_postc,operator,email,opening_ho,phone,name_en,denominati,descriptio,religion,accessibil,building_c,building_l,building_m,building_r,contact_ad,contact_em,contact_ph,education_,educatio_1,educatio_2,educatio_3,educatio_4,educatio_5,educatio_6,educatio_7,educatio_8,educatio_9,educatio10,educatio11,educatio12,educatio13,educatio14,educatio15,educatio16,educatio17,educatio18,educatio19,educatio20,educatio21,educatio22,educatio23,educatio24,educatio25,educatio26,educatio27,educatio28,educatio29,educatio30,educatio31,educatio32,educatio33,electricit,image_clas,image_comp,image_sign,operator_d,operator_t,toilet_pre,toilets_fe,toilets_ha,toilets_ma,toilets_te,water_sour,educatio34,educatio35,educatio36,educatio37,educatio38,educatio39,x,y
node/588006388,school,Limuru Girls School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.68,-1.11
node/711491752,school,Mang'u High School,http://www.manguhigh.com/,Q6748567,en:Mang'u High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05,-1.07
node/1045131871,school,New Light Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93,-1.20
node/1045131916,school,Wendani Topmark Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93,-1.20
node/1045131944,school,AA of Kenya Driving School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93,-1.19
node/1045132244,school,Wendani Junior Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93,-1.20
node/1460334555,school,St. James Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.10,-1.17
node/1717357039,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.97,-1.14
node/2108765326,school,Word of Faith Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83,-1.17
node/2122225566,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.74,-1.18
node/2122225567,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.74,-1.18
node/2379045376,school,karatina_pri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.77,-1.00
node/2413017758,school,kamahindu_primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.70,-1.01
node/2413017771,school,nyanduma_polytechnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76,-1.00
node/2413133320,school,kangirima_primary_school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.74,-0.96
node/2415843848,school,Bathi Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63,-0.98
node/2454275058,school,Limuru Agricultural Youth Centre,,,,Kiambu,Limuru Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.73,-1.15
node/2481076006,school,Kijabe Boys High school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.60,-0.95
node/2481076010,school,Kijabe_girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.60,-0.95
node/2481076014,school,Kijabe Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.60,-0.95
node/2481087435,school,Matathia primary,,,,Matathia,,"160","00221",Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.62,-0.98
node/2481087453,school,takinya_community_nursery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63,-0.96
node/2481110771,school,Munyaka Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64,-0.95
node/2900960968,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.61,-0.99
node/4098677019,school,Mukeu School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64,-0.99
node/4380058189,school,Midas international boys high school,,,,,Thika-Mang'u Road,04th door,,,daverono6@gmail.com,24/7,"0717546493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.03,-1.06
node/4622162195,school,Well watered garden demonstration site,http://kenya.careofcreation.net,,,,Kijabe Road,,,Care of Creation Kenya,,,,Cafe of Creation Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.59,-0.95
